Section,Field,Value,Model,Strategy,Fold,RMSE,MAE
Metadata,Generated Date,2026-02-05 11:03:08,,,,,
Metadata,Analyzed File,C:\Users\praph\Desktop\Project - สำเนา\Data_stocks\META_10yr_data.csv,,,,,
Drift Detection,Number of Drift Points,13,,,,,
Drift Detection,Drift Points (Index),"[191, 415, 575, 735, 895, 1055, 1247, 1407, 1567, 1727, 1887, 2047, 2239]",,,,,
Drift Detection,Drift Dates,"['14/10/2015', '02/09/2016', '25/04/2017', '11/12/2017', '01/08/2018', '22/03/2019', '24/12/2019', '13/08/2020', '05/04/2021', '18/11/2021', '12/07/2022', '01/03/2023', '04/12/2023']",,,,,
Best Model (Accuracy),Winner,GRU,,,,23.38531466113623,
Best Model (Robustness),Most Robust,GRU,,,,,
Robustness Analysis,Model Performance,Rank #1,GRU,Before Drift,,7.41000057241309,
Robustness Analysis,Model Performance,Rank #1,GRU,After Drift,,24.614184975653398,
Robustness Analysis,Model Performance,Rank #1,GRU,Delta RMSE,,17.20418440324031,
Robustness Analysis,Model Performance,Rank #1,GRU,% Degradation,,232.17521017866414,
Robustness Analysis,Model Performance,Rank #2,LINEAR,Before Drift,,8.753388264142302,
Robustness Analysis,Model Performance,Rank #2,LINEAR,After Drift,,31.76854650967385,
Robustness Analysis,Model Performance,Rank #2,LINEAR,Delta RMSE,,23.01515824553155,
Robustness Analysis,Model Performance,Rank #2,LINEAR,% Degradation,,262.92856607094285,
Robustness Analysis,Model Performance,Rank #3,LSTM,Before Drift,,6.996417384896909,
Robustness Analysis,Model Performance,Rank #3,LSTM,After Drift,,26.41836413557123,
Robustness Analysis,Model Performance,Rank #3,LSTM,Delta RMSE,,19.421946750674323,
Robustness Analysis,Model Performance,Rank #3,LSTM,% Degradation,,277.59845764205363,
Robustness Analysis,Model Performance,Rank #4,RNN,Before Drift,,4.793055378235788,
Robustness Analysis,Model Performance,Rank #4,RNN,After Drift,,27.71865074035049,
Robustness Analysis,Model Performance,Rank #4,RNN,Delta RMSE,,22.925595362114702,
Robustness Analysis,Model Performance,Rank #4,RNN,% Degradation,,478.3085850878084,
Summary,Average Performance,Valid,RNN,Adaptive CV,14,26.08110821448516,23.64220027342615
Summary,Average Performance,Valid,RNN,Baseline CV,5,42.89967343229045,38.50627121857018
Summary,Average Performance,Valid,LSTM,Adaptive CV,14,25.031082224808785,22.384260249313545
Summary,Average Performance,Valid,LSTM,Baseline CV,5,43.985440897146916,38.080273568006746
Summary,Average Performance,Valid,GRU,Adaptive CV,14,23.38531466113623,21.07441181885653
Summary,Average Performance,Valid,GRU,Baseline CV,5,38.47964482900671,34.06811138224619
Summary,Average Performance,Valid,LINEAR,Adaptive CV,14,30.124606634993025,27.829760968685548
Summary,Average Performance,Valid,LINEAR,Baseline CV,5,62.2702095817996,57.953361999173374
Detailed Results,Fold 1,Adaptive CV,RNN,Adaptive CV,1,4.793055378235788,3.375581423475749
Detailed Results,Fold 2,Adaptive CV,RNN,Adaptive CV,2,8.893981307809476,8.541482277854819
Detailed Results,Fold 3,Adaptive CV,RNN,Adaptive CV,3,10.645010326631887,10.520322913361671
Detailed Results,Fold 4,Adaptive CV,RNN,Adaptive CV,4,8.93310040719532,8.376866971806068
Detailed Results,Fold 5,Adaptive CV,RNN,Adaptive CV,5,19.590024124870016,18.074299524460024
Detailed Results,Fold 6,Adaptive CV,RNN,Adaptive CV,6,15.305145620080532,13.341725974402575
Detailed Results,Fold 7,Adaptive CV,RNN,Adaptive CV,7,15.28720196617718,14.146085107828776
Detailed Results,Fold 8,Adaptive CV,RNN,Adaptive CV,8,45.073866459776625,35.897634172782624
Detailed Results,Fold 9,Adaptive CV,RNN,Adaptive CV,9,13.41730137923757,11.705794393474271
Detailed Results,Fold 10,Adaptive CV,RNN,Adaptive CV,10,16.981799696819852,14.788511381686583
Detailed Results,Fold 11,Adaptive CV,RNN,Adaptive CV,11,40.193402154483046,39.8870894464614
Detailed Results,Fold 12,Adaptive CV,RNN,Adaptive CV,12,39.688976762556244,30.543463314499082
Detailed Results,Fold 13,Adaptive CV,RNN,Adaptive CV,13,39.20791041660998,36.25813039593099
Detailed Results,Fold 14,Adaptive CV,RNN,Adaptive CV,14,87.12473900230867,85.5338165299414
Detailed Results,Fold 1,Baseline CV,RNN,Baseline CV,1,29.155096971357754,25.93026190977412
Detailed Results,Fold 2,Baseline CV,RNN,Baseline CV,2,21.82233964283067,17.26586074042119
Detailed Results,Fold 3,Baseline CV,RNN,Baseline CV,3,10.858263687609846,9.246185749150817
Detailed Results,Fold 4,Baseline CV,RNN,Baseline CV,4,78.19505319938085,76.72634268768115
Detailed Results,Fold 5,Baseline CV,RNN,Baseline CV,5,74.46761366027314,63.36270500582362
Detailed Results,Fold 1,Adaptive CV,LSTM,Adaptive CV,1,6.996417384896909,5.095523833448893
Detailed Results,Fold 2,Adaptive CV,LSTM,Adaptive CV,2,10.845353665244888,10.625670612001954
Detailed Results,Fold 3,Adaptive CV,LSTM,Adaptive CV,3,11.722822146590595,10.193397523454731
Detailed Results,Fold 4,Adaptive CV,LSTM,Adaptive CV,4,8.69855808139769,7.787122852722888
Detailed Results,Fold 5,Adaptive CV,LSTM,Adaptive CV,5,21.315245062068882,19.420089716245403
Detailed Results,Fold 6,Adaptive CV,LSTM,Adaptive CV,6,6.418902949240071,4.8536978433593765
Detailed Results,Fold 7,Adaptive CV,LSTM,Adaptive CV,7,19.343110412254344,18.574270252888997
